"policy_id","industry","vehicle_type","territory","fleet_size","years_in_business","driver_age","exposure","freq_lambda","claims","sev_mu","total_loss","severity","pure_premium"
1,"Logistics","Light_Truck","Rural",1,17,63,0.51093108265195,0.0410083505558108,0,7560,0,NA,0
2,"Professional","Light_Truck","Urban",21,2,22,0.581835238728672,0.0610316073664441,0,6804,0,NA,0
3,"Logistics","Delivery_Truck","Urban",18,1,54,0.862109742010944,0.254184436334507,0,16380,0,NA,0
4,"Healthcare","Light_Truck","Urban",38,23,48,0.870967885595746,0.135452925567851,0,8316,0,NA,0
5,"Healthcare","Light_Truck","Rural",44,21,70,0.848097504349425,0.0644367521854607,0,5544,0,NA,0
6,"Construction","Light_Truck","Urban",44,2,23,0.622155927703716,0.146312409518083,0,10584,0,NA,0
7,"Retail","Box_Truck","Urban",43,37,66,0.713424760382622,0.199259535574866,0,12600,0,NA,0
8,"Healthcare","Delivery_Truck","Suburban",10,18,64,0.737026390619576,0.0862320877024904,0,10010,0,NA,0
9,"Retail","Delivery_Truck","Suburban",4,39,23,0.91629344818648,0.111971059368388,0,9100,0,NA,0
10,"Retail","Light_Truck","Urban",29,5,68,0.53359476220794,0.0857219985487056,0,7560,0,NA,0
11,"Healthcare","Cargo_Van","Rural",8,23,39,0.91722804820165,0.0566296596959699,0,6160,0,NA,0
12,"Retail","Delivery_Truck","Urban",6,3,49,0.93044182297308,0.174178709260561,0,10920,0,NA,0
13,"Professional","Delivery_Truck","Rural",25,9,54,0.777108673821203,0.0569270959007722,0,6552,0,NA,0
14,"Retail","Light_Truck","Urban",7,30,24,0.612994429888204,0.0802716205938603,0,7560,0,NA,0
15,"Construction","Cargo_Van","Urban",37,12,37,0.720915327779949,0.178534680924704,0,11760,0,NA,0
16,"Healthcare","Cargo_Van","Suburban",37,38,50,0.930511026992463,0.106357410385238,0,7700,0,NA,0
17,"Construction","Light_Truck","Urban",27,15,52,0.854025149601512,0.175361254093426,0,10584,0,NA,0
18,"Construction","Cargo_Van","Suburban",1,8,64,0.726483703008853,0.0859430220659473,0,9800,0,NA,0
19,"Logistics","Light_Truck","Urban",45,33,33,0.603774314746261,0.154053016407508,0,11340,0,NA,0
20,"Healthcare","Delivery_Truck","Urban",2,13,36,0.929775752010755,0.150121592919657,0,12012,0,NA,0
21,"Healthcare","Light_Truck","Urban",48,28,42,0.851420433144085,0.142757664025269,0,8316,0,NA,0
22,"Professional","Light_Truck","Urban",15,28,58,0.751682292087935,0.0745856754324253,1,6804,1787.94929758108,1787.94929758108,2378.59707006629
23,"Retail","Delivery_Truck","Suburban",2,6,32,0.702988920384087,0.0840774748779368,0,9100,0,NA,0
24,"Healthcare","Delivery_Truck","Urban",44,5,22,0.987701129517518,0.232277674628635,0,12012,0,NA,0
25,"Professional","Delivery_Truck","Rural",35,30,46,0.999054692918435,0.0795497299236304,0,6552,0,NA,0
26,"Professional","Cargo_Van","Suburban",25,16,56,0.842855624039657,0.0678498777351924,0,6300,0,NA,0
27,"Retail","Cargo_Van","Urban",35,27,68,0.644941845093854,0.120926595955098,0,8400,0,NA,0
28,"Retail","Cargo_Van","Rural",38,2,24,0.511283938540146,0.0458110408931971,0,5600,0,NA,0
29,"Logistics","Light_Truck","Urban",33,26,60,0.825216492987238,0.191838078124743,0,11340,0,NA,0
30,"Construction","Light_Truck","Rural",37,27,45,0.703684338368475,0.0731923190867202,0,7056,0,NA,0
31,"Healthcare","Cargo_Van","Suburban",9,22,35,0.893883553682826,0.0796450246331399,0,7700,0,NA,0
32,"Healthcare","Cargo_Van","Suburban",40,39,62,0.637714561773464,0.0746126037274953,0,7700,0,NA,0
33,"Professional","Light_Truck","Suburban",17,28,55,0.999531051260419,0.0673783881654649,0,5670,0,NA,0
34,"Professional","Delivery_Truck","Urban",47,14,69,0.714370076893829,0.13359077622953,0,9828,0,NA,0
35,"Construction","Light_Truck","Suburban",50,17,46,0.882208222988993,0.144505706925597,1,8820,3502.21581792689,3502.21581792689,3969.82903430791
36,"Retail","Cargo_Van","Suburban",50,16,67,0.565879259142093,0.0792230962798931,0,7000,0,NA,0
37,"Professional","Box_Truck","Urban",40,3,55,0.754350747098215,0.144156427770469,0,11340,0,NA,0
38,"Construction","Cargo_Van","Rural",10,14,21,0.546522931894287,0.0497335868023802,0,7840,0,NA,0
39,"Logistics","Light_Truck","Urban",28,17,67,0.762625678791665,0.170080778884117,0,11340,0,NA,0
40,"Construction","Light_Truck","Suburban",13,9,55,0.622852009837516,0.075059895705519,1,8820,2617.78091331765,2617.78091331765,4202.89390091324
41,"Construction","Light_Truck","Urban",31,26,62,0.964072980219498,0.204725717714512,0,10584,0,NA,0
42,"Logistics","Light_Truck","Urban",15,3,52,0.506658074096777,0.100546294804505,0,11340,0,NA,0
43,"Logistics","Light_Truck","Rural",15,1,38,0.558575198519975,0.0517296491349349,0,7560,0,NA,0
44,"Logistics","Light_Truck","Urban",14,40,65,0.542903339257464,0.106713080364447,1,11340,19676.642000041,19676.642000041,36243.3615290578
45,"Construction","Light_Truck","Rural",37,13,58,0.757551580900326,0.0787952125841856,0,7056,0,NA,0
46,"Construction","Light_Truck","Suburban",49,26,26,0.515784702729434,0.0838820662048878,1,8820,6327.59838064475,6327.59838064475,12267.9062546065
47,"Construction","Light_Truck","Suburban",29,20,56,0.849897698732093,0.118331256594469,0,8820,0,NA,0
48,"Retail","Delivery_Truck","Urban",28,5,55,0.935164710856043,0.215181399967975,0,10920,0,NA,0
49,"Logistics","Cargo_Van","Rural",35,40,45,0.874675680883229,0.107147770908196,0,8400,0,NA,0
50,"Healthcare","Light_Truck","Rural",20,16,51,0.564038118929602,0.0351790574776393,0,5544,0,NA,0
51,"Construction","Light_Truck","Urban",27,8,26,0.789323312230408,0.162075702316831,0,10584,0,NA,0
52,"Logistics","Delivery_Truck","Urban",41,13,30,0.717462921980768,0.256586264787982,0,16380,0,NA,0
53,"Professional","Box_Truck","Urban",50,38,50,0.963177090394311,0.198221845203149,0,11340,0,NA,0
54,"Construction","Delivery_Truck","Urban",22,12,64,0.536429937230423,0.152303187778462,0,15288,0,NA,0
55,"Retail","Cargo_Van","Suburban",42,18,65,0.729577405727468,0.0963042175560258,0,7000,0,NA,0
56,"Construction","Light_Truck","Urban",8,7,55,0.527715367614292,0.090761766075982,0,10584,0,NA,0
57,"Construction","Delivery_Truck","Urban",3,18,62,0.75422668538522,0.177812712212992,0,15288,0,NA,0
58,"Professional","Light_Truck","Urban",34,21,42,0.820492864586413,0.0961453538722359,1,6804,1369.55816423578,1369.55816423578,1669.18960949909
59,"Healthcare","Light_Truck","Suburban",13,7,27,0.593282097601332,0.0494975254028791,0,6930,0,NA,0
60,"Logistics","Light_Truck","Suburban",15,29,42,0.969910502200946,0.128319159441185,0,9450,0,NA,0
61,"Professional","Cargo_Van","Suburban",16,37,31,0.691806799382903,0.0513320645142114,0,6300,0,NA,0
62,"Construction","Delivery_Truck","Suburban",50,37,39,0.592579144402407,0.14020422556561,0,12740,0,NA,0
63,"Logistics","Delivery_Truck","Urban",3,14,68,0.668752854806371,0.16978966230679,0,16380,0,NA,0
64,"Logistics","Cargo_Van","Suburban",2,36,48,0.847680240054615,0.109181214919034,0,10500,0,NA,0
