"policy_id","industry","vehicle_type","territory","fleet_size","years_in_business","driver_age","driver_age_band","exposure","claims","total_loss","severity","pure_premium","freq_lambda","sev_mu"
1,"Logistics","Light_Truck","Rural",1,17,63,"61–70",0.51093108265195,0,0,NA,0,0.0410083505558108,7560
2,"Professional","Light_Truck","Urban",21,2,22,"21–30",0.581835238728672,0,0,NA,0,0.0610316073664441,6804
3,"Logistics","Delivery_Truck","Urban",18,1,54,"51–60",0.862109742010944,0,0,NA,0,0.254184436334507,16380
4,"Healthcare","Light_Truck","Urban",38,23,48,"41–50",0.870967885595746,0,0,NA,0,0.135452925567851,8316
5,"Healthcare","Light_Truck","Rural",44,21,70,"61–70",0.848097504349425,0,0,NA,0,0.0644367521854607,5544
6,"Construction","Light_Truck","Urban",44,2,23,"21–30",0.622155927703716,0,0,NA,0,0.146312409518083,10584
7,"Retail","Box_Truck","Urban",43,37,66,"61–70",0.713424760382622,0,0,NA,0,0.199259535574866,12600
8,"Healthcare","Delivery_Truck","Suburban",10,18,64,"61–70",0.737026390619576,0,0,NA,0,0.0862320877024904,10010
9,"Retail","Delivery_Truck","Suburban",4,39,23,"21–30",0.91629344818648,0,0,NA,0,0.111971059368388,9100
10,"Retail","Light_Truck","Urban",29,5,68,"61–70",0.53359476220794,0,0,NA,0,0.0857219985487056,7560
11,"Healthcare","Cargo_Van","Rural",8,23,39,"31–40",0.91722804820165,0,0,NA,0,0.0566296596959699,6160
12,"Retail","Delivery_Truck","Urban",6,3,49,"41–50",0.93044182297308,0,0,NA,0,0.174178709260561,10920
13,"Professional","Delivery_Truck","Rural",25,9,54,"51–60",0.777108673821203,0,0,NA,0,0.0569270959007722,6552
14,"Retail","Light_Truck","Urban",7,30,24,"21–30",0.612994429888204,0,0,NA,0,0.0802716205938603,7560
15,"Construction","Cargo_Van","Urban",37,12,37,"31–40",0.720915327779949,0,0,NA,0,0.178534680924704,11760
16,"Healthcare","Cargo_Van","Suburban",37,38,50,"41–50",0.930511026992463,0,0,NA,0,0.106357410385238,7700
17,"Construction","Light_Truck","Urban",27,15,52,"51–60",0.854025149601512,0,0,NA,0,0.175361254093426,10584
18,"Construction","Cargo_Van","Suburban",1,8,64,"61–70",0.726483703008853,0,0,NA,0,0.0859430220659473,9800
19,"Logistics","Light_Truck","Urban",45,33,33,"31–40",0.603774314746261,0,0,NA,0,0.154053016407508,11340
20,"Healthcare","Delivery_Truck","Urban",2,13,36,"31–40",0.929775752010755,0,0,NA,0,0.150121592919657,12012
