"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",11032.1432810524,0.120119406545991,77.494292344779,0,8788.69888563697,13909.2751106198
"industryHealthcare",0.889073682961411,0.0769112942474875,-1.52871129113083,0.126632415040447,0.765521942857097,1.03573695858063
"industryLogistics",1.15807942144272,0.0608274499583751,2.41277518472946,0.015999381187074,1.02777422492251,1.30532339072072
"industryProfessional",0.672210978201376,0.0722567280061178,-5.49683113304429,4.83629356875998e-08,0.583876362832015,0.775573773149572
"industryRetail",0.734895162733294,0.0669462092706975,-4.6011182565132,4.70640463402228e-06,0.644966037150964,0.838445262962671
"vehicle_typeCargo_Van",0.663078004924768,0.0772178503392874,-5.32082464643736,1.25847378479302e-07,0.56871558594103,0.770706770210527
"vehicle_typeDelivery_Truck",0.841612707947458,0.0808629563427051,-2.1324391929778,0.0331985725330286,0.716777457631537,0.985816166982567
"vehicle_typeLight_Truck",0.632955237874927,0.0752592383970601,-6.07706885343417,1.70116104635992e-09,0.544958172791453,0.732590197660448
"territorySuburban",1.24920922708841,0.0765631459898233,2.90623811131145,0.00373362439069547,1.07318600021064,1.44995494835751
"territoryUrban",1.54531932646652,0.070257751954505,6.19476941238441,8.32020181116867e-10,1.34278387110104,1.77131222873027
"fleet_size",0.999651919531028,0.00156827479217103,-0.221989835440925,0.824364276244318,0.996536337659901,1.0027737937494
"years_in_business",1.00064415299875,0.00190431730827618,0.338150379909714,0.735316387770478,0.996921004369631,1.00438405235111
"driver_age_band31–40",0.971733729570164,0.0695047594578355,-0.412539415220277,0.680026971869095,0.847748730692929,1.11411175931387
"driver_age_band41–50",0.863660180090874,0.0708515820072454,-2.0687738152381,0.0388077309789384,0.751639023587151,0.992850199698237
"driver_age_band51–60",1.05475215177182,0.0704164050581798,0.757008427990031,0.449211938196548,0.918749934050585,1.21133459740471
"driver_age_band61–70",1.03036512347926,0.0696034928556437,0.429766194378785,0.667452500318782,0.898159976385886,1.1823296926818
